year,problem,kind,repo,path,bytes,git_blob_sha1,sha256,url,verification,license
2022,D,Data,BryanHuang66/PISA-architecture-resource-allocation,first_problem_w_greedy_random.csv,5669,edb1edc632defff1f01ad796328849d9dced2655,,https://github.com/BryanHuang66/PISA-architecture-resource-allocation/blob/f378badaa32abc6925aa4a6326daacff404f85a8/first_problem_w_greedy_random.csv,Git tree enumerated; runtime not tested,UNSPECIFIED
2022,D,Data,BryanHuang66/PISA-architecture-resource-allocation,first_problem_w_greedy_tree.csv,6051,ddc76a8da1432b038ffcf3b514f95845ee6df533,,https://github.com/BryanHuang66/PISA-architecture-resource-allocation/blob/f378badaa32abc6925aa4a6326daacff404f85a8/first_problem_w_greedy_tree.csv,Git tree enumerated; runtime not tested,UNSPECIFIED
2022,D,Data,BryanHuang66/PISA-architecture-resource-allocation,first_problem_w_greedy_tree_alloc.csv,19950,35cc8ad5f3290884d0b2f304fbcc9da9bf8edd4d,,https://github.com/BryanHuang66/PISA-architecture-resource-allocation/blob/f378badaa32abc6925aa4a6326daacff404f85a8/first_problem_w_greedy_tree_alloc.csv,Git tree enumerated; runtime not tested,UNSPECIFIED
2022,D,Data,BryanHuang66/PISA-architecture-resource-allocation,first_problem_w_greedy_w_right.csv,6051,83677ff419b74618f2c3c23b6242ffcf5b619379,,https://github.com/BryanHuang66/PISA-architecture-resource-allocation/blob/f378badaa32abc6925aa4a6326daacff404f85a8/first_problem_w_greedy_w_right.csv,Git tree enumerated; runtime not tested,UNSPECIFIED
2022,D,Data,BryanHuang66/PISA-architecture-resource-allocation,second_problem_w_greedy_alloc.csv,208921,1457314bf72546aade781aba9fc89c6dd7acb58c,,https://github.com/BryanHuang66/PISA-architecture-resource-allocation/blob/f378badaa32abc6925aa4a6326daacff404f85a8/second_problem_w_greedy_alloc.csv,Git tree enumerated; runtime not tested,UNSPECIFIED
2022,D,Data,BryanHuang66/PISA-architecture-resource-allocation,second_problem_w_greedy_tree.csv,6221,54d26fc5cc14268f4b9455d87eef4ff16777a56f,,https://github.com/BryanHuang66/PISA-architecture-resource-allocation/blob/f378badaa32abc6925aa4a6326daacff404f85a8/second_problem_w_greedy_tree.csv,Git tree enumerated; runtime not tested,UNSPECIFIED
2022,D,Data,BryanHuang66/PISA-architecture-resource-allocation,second_problem_w_greedy_tree_alloc.csv,208914,c91a04843dd8faeb211111067ec0320180557246,,https://github.com/BryanHuang66/PISA-architecture-resource-allocation/blob/f378badaa32abc6925aa4a6326daacff404f85a8/second_problem_w_greedy_tree_alloc.csv,Git tree enumerated; runtime not tested,UNSPECIFIED
2022,E,Code,Fucheng-Zhong/2022_math_modeling_E,docs/examples/HDFN-demo.ipynb,1973894,1dc81f8cd862af3fc95b616818e26ff0fb8a807c,,https://github.com/Fucheng-Zhong/2022_math_modeling_E/blob/10dad930931a60cf9b6de8f1de717607c3fd54a9/docs/examples/HDFN-demo.ipynb,Git tree enumerated; runtime not tested,UNSPECIFIED
2022,E,Code,Fucheng-Zhong/2022_math_modeling_E,数学建模/LSTM.ipynb,1209144,97997075b6f080a8deefe0d10b6f1cc3997d9571,,https://github.com/Fucheng-Zhong/2022_math_modeling_E/blob/10dad930931a60cf9b6de8f1de717607c3fd54a9/%E6%95%B0%E5%AD%A6%E5%BB%BA%E6%A8%A1/LSTM.ipynb,Git tree enumerated; runtime not tested,UNSPECIFIED
2022,E,Code,Fucheng-Zhong/2022_math_modeling_E,数学建模/数学建模 问题2-废案.ipynb,704975,fbf8c8eb264bfbb74ed2cb4da38bb33863847fb6,,https://github.com/Fucheng-Zhong/2022_math_modeling_E/blob/10dad930931a60cf9b6de8f1de717607c3fd54a9/%E6%95%B0%E5%AD%A6%E5%BB%BA%E6%A8%A1/%E6%95%B0%E5%AD%A6%E5%BB%BA%E6%A8%A1%20%E9%97%AE%E9%A2%982-%E5%BA%9F%E6%A1%88.ipynb,Git tree enumerated; runtime not tested,UNSPECIFIED
